Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
Arrow_GoPro_Seeded_Stabilised,0.0,2.0,0.4188,0.413,0.0058
Arrow_GoPro_Seeded_Stabilised,1.0,3.0,0.413,0.413,0.0
Arrow_GoPro_Seeded_Stabilised,2.0,4.0,0.4132,0.413,0.0002
Arrow_GoPro_Seeded_Stabilised,3.0,5.0,0.4174,0.413,0.0044
Arrow_GoPro_Seeded_Stabilised,4.0,6.0,0.413,0.413,0.0
Arrow_GoPro_Seeded_Stabilised,5.0,7.0,0.4145,0.413,0.0015
Arrow_GoPro_Seeded_Stabilised,6.0,8.0,0.413,0.413,0.0
Arrow_GoPro_Seeded_Stabilised,7.0,9.0,0.4129,0.413,0.0001
Arrow_GoPro_Seeded_Stabilised,8.0,10.0,0.4129,0.413,0.0001
Arrow_GoPro_Seeded_Stabilised,9.0,11.0,0.4165,0.413,0.0035
Arrow_GoPro_Seeded_Stabilised,10.0,12.0,0.4147,0.413,0.0017
Arrow_GoPro_Seeded_Stabilised,11.0,13.0,0.413,0.413,0.0
Arrow_GoPro_Seeded_Stabilised,12.0,14.0,0.4148,0.413,0.0018
Arrow_GoPro_Seeded_Stabilised,13.0,15.0,0.4186,0.413,0.0056
Arrow_GoPro_Seeded_Stabilised,14.0,16.0,0.4135,0.413,0.0005
Arrow_GoPro_Seeded_Stabilised,15.0,17.0,0.4126,0.413,0.0004
Arrow_GoPro_Seeded_Stabilised,16.0,18.0,0.4127,0.413,0.0003
Arrow_GoPro_Seeded_Stabilised,17.0,19.0,0.413,0.413,0.0
Arrow_GoPro_Seeded_Stabilised,17.6,19.6,0.5079,0.413,0.0949
