Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
Arrow_GoPro_Unseeded_Stabilised,0.0,2.0,0.413,0.413,0.0
Arrow_GoPro_Unseeded_Stabilised,1.0,3.0,0.4244,0.413,0.0114
Arrow_GoPro_Unseeded_Stabilised,2.0,4.0,0.4136,0.413,0.0006
Arrow_GoPro_Unseeded_Stabilised,3.0,5.0,0.4264,0.413,0.0134
Arrow_GoPro_Unseeded_Stabilised,4.0,6.0,0.413,0.413,0.0
Arrow_GoPro_Unseeded_Stabilised,5.0,7.0,0.4134,0.413,0.0004
Arrow_GoPro_Unseeded_Stabilised,6.0,8.0,0.4173,0.413,0.0043
Arrow_GoPro_Unseeded_Stabilised,7.0,9.0,0.413,0.413,0.0
Arrow_GoPro_Unseeded_Stabilised,8.0,10.0,0.4132,0.413,0.0002
Arrow_GoPro_Unseeded_Stabilised,9.0,11.0,0.4131,0.413,0.0001
Arrow_GoPro_Unseeded_Stabilised,10.0,12.0,0.413,0.413,0.0
Arrow_GoPro_Unseeded_Stabilised,11.0,13.0,0.4133,0.413,0.0003
Arrow_GoPro_Unseeded_Stabilised,12.0,14.0,0.4133,0.413,0.0003
Arrow_GoPro_Unseeded_Stabilised,13.0,15.0,0.413,0.413,0.0
Arrow_GoPro_Unseeded_Stabilised,14.0,16.0,0.4136,0.413,0.0006
Arrow_GoPro_Unseeded_Stabilised,15.0,17.0,0.4131,0.413,0.0001
Arrow_GoPro_Unseeded_Stabilised,16.0,18.0,0.4137,0.413,0.0007
Arrow_GoPro_Unseeded_Stabilised,17.0,19.0,0.4139,0.413,0.0009
Arrow_GoPro_Unseeded_Stabilised,17.8,19.8,0.4135,0.413,0.0005
