Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
Arrow_Gopro_Seeded_notStabilised,0.0,2.0,0.4139,0.413,0.0009
Arrow_Gopro_Seeded_notStabilised,1.0,3.0,0.4131,0.413,0.0001
Arrow_Gopro_Seeded_notStabilised,2.0,4.0,0.4132,0.413,0.0002
Arrow_Gopro_Seeded_notStabilised,3.0,5.0,0.413,0.413,0.0
Arrow_Gopro_Seeded_notStabilised,4.0,6.0,0.4132,0.413,0.0002
Arrow_Gopro_Seeded_notStabilised,5.0,7.0,0.413,0.413,0.0
Arrow_Gopro_Seeded_notStabilised,6.0,8.0,0.414,0.413,0.001
Arrow_Gopro_Seeded_notStabilised,7.0,9.0,0.413,0.413,0.0
Arrow_Gopro_Seeded_notStabilised,8.0,10.0,0.4136,0.413,0.0006
Arrow_Gopro_Seeded_notStabilised,9.0,11.0,0.423,0.413,0.01
Arrow_Gopro_Seeded_notStabilised,10.0,12.0,0.4152,0.413,0.0022
Arrow_Gopro_Seeded_notStabilised,11.0,13.0,0.4138,0.413,0.0008
Arrow_Gopro_Seeded_notStabilised,12.0,14.0,0.4235,0.413,0.0105
Arrow_Gopro_Seeded_notStabilised,13.0,15.0,0.413,0.413,0.0
Arrow_Gopro_Seeded_notStabilised,14.0,16.0,0.4127,0.413,0.0003
Arrow_Gopro_Seeded_notStabilised,15.0,17.0,0.4135,0.413,0.0005
Arrow_Gopro_Seeded_notStabilised,16.0,18.0,0.4138,0.413,0.0008
Arrow_Gopro_Seeded_notStabilised,17.0,19.0,0.413,0.413,0.0
Arrow_Gopro_Seeded_notStabilised,17.8,19.8,0.4134,0.413,0.0004
