Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
Arrow_Gopro_UnSeeded_notStabilised,0.0,2.0,0.4305,0.413,0.0175
Arrow_Gopro_UnSeeded_notStabilised,1.0,3.0,0.4137,0.413,0.0007
Arrow_Gopro_UnSeeded_notStabilised,2.0,4.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,3.0,5.0,0.4132,0.413,0.0002
Arrow_Gopro_UnSeeded_notStabilised,4.0,6.0,0.4137,0.413,0.0007
Arrow_Gopro_UnSeeded_notStabilised,5.0,7.0,0.4136,0.413,0.0006
Arrow_Gopro_UnSeeded_notStabilised,6.0,8.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,7.0,9.0,0.4134,0.413,0.0004
Arrow_Gopro_UnSeeded_notStabilised,8.0,10.0,0.4174,0.413,0.0044
Arrow_Gopro_UnSeeded_notStabilised,9.0,11.0,0.4131,0.413,0.0001
Arrow_Gopro_UnSeeded_notStabilised,10.0,12.0,0.4129,0.413,0.0001
Arrow_Gopro_UnSeeded_notStabilised,11.0,13.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,12.0,14.0,0.4132,0.413,0.0002
Arrow_Gopro_UnSeeded_notStabilised,13.0,15.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,14.0,16.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,15.0,17.0,0.4131,0.413,0.0001
Arrow_Gopro_UnSeeded_notStabilised,16.0,18.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,17.0,19.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,17.8,19.8,0.4131,0.413,0.0001
