Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
Arrow_UAS_Seeded_Stabilised,0.0,2.0,0.5612,0.561,0.0002
Arrow_UAS_Seeded_Stabilised,1.0,3.0,0.5683,0.561,0.0073
Arrow_UAS_Seeded_Stabilised,2.0,4.0,0.5593,0.561,0.0017
Arrow_UAS_Seeded_Stabilised,3.0,5.0,0.5595,0.561,0.0015
Arrow_UAS_Seeded_Stabilised,4.0,6.0,0.5573,0.561,0.0037
Arrow_UAS_Seeded_Stabilised,5.0,7.0,0.5599,0.561,0.0011
Arrow_UAS_Seeded_Stabilised,6.0,8.0,0.561,0.561,0.0
Arrow_UAS_Seeded_Stabilised,7.0,9.0,0.5605,0.561,0.0005
Arrow_UAS_Seeded_Stabilised,8.0,10.0,0.5608,0.561,0.0002
Arrow_UAS_Seeded_Stabilised,9.0,11.0,0.561,0.561,0.0
Arrow_UAS_Seeded_Stabilised,10.0,12.0,0.561,0.561,0.0
Arrow_UAS_Seeded_Stabilised,11.0,13.0,0.561,0.561,0.0
Arrow_UAS_Seeded_Stabilised,12.0,14.0,0.5611,0.561,0.0001
Arrow_UAS_Seeded_Stabilised,13.0,15.0,0.5607,0.561,0.0003
Arrow_UAS_Seeded_Stabilised,14.0,16.0,0.5606,0.561,0.0004
Arrow_UAS_Seeded_Stabilised,15.0,17.0,0.5606,0.561,0.0004
Arrow_UAS_Seeded_Stabilised,16.0,18.0,0.561,0.561,0.0
Arrow_UAS_Seeded_Stabilised,17.0,19.0,0.5611,0.561,0.0001
Arrow_UAS_Seeded_Stabilised,17.8,19.8,0.5609,0.561,0.0001
