Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
Arrow_UAS_Seeded_notStabilised,0.0,2.0,0.5699,0.561,0.0089
Arrow_UAS_Seeded_notStabilised,1.0,3.0,0.5686,0.561,0.0076
Arrow_UAS_Seeded_notStabilised,2.0,4.0,0.561,0.561,0.0
Arrow_UAS_Seeded_notStabilised,3.0,5.0,0.561,0.561,0.0
Arrow_UAS_Seeded_notStabilised,4.0,6.0,0.5586,0.561,0.0024
Arrow_UAS_Seeded_notStabilised,5.0,7.0,0.561,0.561,0.0
Arrow_UAS_Seeded_notStabilised,6.0,8.0,0.5597,0.561,0.0013
Arrow_UAS_Seeded_notStabilised,7.0,9.0,0.5588,0.561,0.0022
Arrow_UAS_Seeded_notStabilised,8.0,10.0,0.5603,0.561,0.0007
Arrow_UAS_Seeded_notStabilised,9.0,11.0,0.561,0.561,0.0
Arrow_UAS_Seeded_notStabilised,10.0,12.0,0.5612,0.561,0.0002
Arrow_UAS_Seeded_notStabilised,11.0,13.0,0.561,0.561,0.0
Arrow_UAS_Seeded_notStabilised,12.0,14.0,0.561,0.561,0.0
Arrow_UAS_Seeded_notStabilised,13.0,15.0,0.5612,0.561,0.0002
Arrow_UAS_Seeded_notStabilised,14.0,16.0,0.5607,0.561,0.0003
Arrow_UAS_Seeded_notStabilised,15.0,17.0,0.5458,0.561,0.0152
Arrow_UAS_Seeded_notStabilised,16.0,18.0,0.5574,0.561,0.0036
Arrow_UAS_Seeded_notStabilised,17.0,19.0,0.5613,0.561,0.0003
Arrow_UAS_Seeded_notStabilised,17.8,19.8,0.5611,0.561,0.0001
