Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
Arrow_UAS_Unseeded_Stabilised,0.0,2.0,0.5607,0.561,0.0003
Arrow_UAS_Unseeded_Stabilised,1.0,3.0,0.561,0.561,0.0
Arrow_UAS_Unseeded_Stabilised,2.0,4.0,0.5549,0.561,0.0061
Arrow_UAS_Unseeded_Stabilised,3.0,5.0,0.561,0.561,0.0
Arrow_UAS_Unseeded_Stabilised,4.0,6.0,0.5057,0.561,0.0553
Arrow_UAS_Unseeded_Stabilised,5.0,7.0,0.561,0.561,0.0
Arrow_UAS_Unseeded_Stabilised,6.0,8.0,0.561,0.561,0.0
Arrow_UAS_Unseeded_Stabilised,7.0,9.0,0.561,0.561,0.0
Arrow_UAS_Unseeded_Stabilised,8.0,10.0,0.561,0.561,0.0
Arrow_UAS_Unseeded_Stabilised,9.0,11.0,0.561,0.561,0.0
Arrow_UAS_Unseeded_Stabilised,10.0,12.0,0.531,0.561,0.03
Arrow_UAS_Unseeded_Stabilised,11.0,13.0,0.558,0.561,0.003
Arrow_UAS_Unseeded_Stabilised,12.0,14.0,0.5573,0.561,0.0037
Arrow_UAS_Unseeded_Stabilised,13.0,15.0,0.5384,0.561,0.0226
Arrow_UAS_Unseeded_Stabilised,14.0,16.0,0.5565,0.561,0.0045
Arrow_UAS_Unseeded_Stabilised,15.0,17.0,0.5553,0.561,0.0057
Arrow_UAS_Unseeded_Stabilised,16.0,18.0,0.5594,0.561,0.0016
Arrow_UAS_Unseeded_Stabilised,17.0,19.0,0.5565,0.561,0.0045
Arrow_UAS_Unseeded_Stabilised,17.8,19.8,0.5572,0.561,0.0038
