Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
Arrow_UAS_Unseeded_notStabilised,0.0,2.0,0.5609,0.561,0.0001
Arrow_UAS_Unseeded_notStabilised,1.0,3.0,0.5598,0.561,0.0012
Arrow_UAS_Unseeded_notStabilised,2.0,4.0,0.561,0.561,0.0
Arrow_UAS_Unseeded_notStabilised,3.0,5.0,0.5591,0.561,0.0019
Arrow_UAS_Unseeded_notStabilised,4.0,6.0,0.561,0.561,0.0
Arrow_UAS_Unseeded_notStabilised,5.0,7.0,0.5598,0.561,0.0012
Arrow_UAS_Unseeded_notStabilised,6.0,8.0,0.5606,0.561,0.0004
Arrow_UAS_Unseeded_notStabilised,7.0,9.0,0.5602,0.561,0.0008
Arrow_UAS_Unseeded_notStabilised,8.0,10.0,0.5608,0.561,0.0002
Arrow_UAS_Unseeded_notStabilised,9.0,11.0,0.561,0.561,0.0
Arrow_UAS_Unseeded_notStabilised,10.0,12.0,0.5599,0.561,0.0011
Arrow_UAS_Unseeded_notStabilised,11.0,13.0,0.5598,0.561,0.0012
Arrow_UAS_Unseeded_notStabilised,12.0,14.0,0.5602,0.561,0.0008
Arrow_UAS_Unseeded_notStabilised,13.0,15.0,0.561,0.561,0.0
Arrow_UAS_Unseeded_notStabilised,14.0,16.0,0.5607,0.561,0.0003
Arrow_UAS_Unseeded_notStabilised,15.0,17.0,0.5598,0.561,0.0012
Arrow_UAS_Unseeded_notStabilised,16.0,18.0,0.5592,0.561,0.0018
Arrow_UAS_Unseeded_notStabilised,17.0,19.0,0.5608,0.561,0.0002
Arrow_UAS_Unseeded_notStabilised,17.8,19.8,0.561,0.561,0.0
