Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
Brenta1,0.0,2.0,0.3848,0.384,0.0008
Brenta1,1.0,3.0,0.3876,0.384,0.0036
Brenta1,2.0,4.0,0.3863,0.384,0.0023
Brenta1,3.0,5.0,0.3963,0.384,0.0123
Brenta1,4.0,6.0,0.3863,0.384,0.0023
Brenta1,5.0,7.0,0.385,0.384,0.001
Brenta1,6.0,8.0,0.384,0.384,0.0
Brenta1,7.0,9.0,0.3892,0.384,0.0052
Brenta1,8.0,10.0,0.4592,0.384,0.0752
Brenta1,9.0,11.0,0.4365,0.384,0.0525
Brenta1,10.0,12.0,0.4397,0.384,0.0557
Brenta1,11.0,13.0,0.4528,0.384,0.0688
Brenta1,12.0,14.0,0.3925,0.384,0.0085
Brenta1,13.0,15.0,0.384,0.384,0.0
Brenta1,14.0,16.0,0.3846,0.384,0.0006
Brenta1,15.0,17.0,0.3907,0.384,0.0067
Brenta1,16.0,18.0,0.3943,0.384,0.0103
Brenta1,17.0,19.0,0.3856,0.384,0.0016
Brenta1,18.0,20.0,0.3866,0.384,0.0026
