Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
BrentaFLIR,0.0,2.0,0.3864,0.384,0.0024
BrentaFLIR,1.0,3.0,0.384,0.384,0.0
BrentaFLIR,2.0,4.0,0.3841,0.384,0.0001
BrentaFLIR,3.0,5.0,0.3895,0.384,0.0055
BrentaFLIR,4.0,6.0,0.3978,0.384,0.0138
BrentaFLIR,5.0,7.0,0.5888,0.384,0.2048
BrentaFLIR,6.0,8.0,0.4487,0.384,0.0647
BrentaFLIR,7.0,9.0,0.3896,0.384,0.0056
BrentaFLIR,8.0,10.0,0.3851,0.384,0.0011
BrentaFLIR,9.0,11.0,0.3844,0.384,0.0004
BrentaFLIR,10.0,12.0,0.3876,0.384,0.0036
BrentaFLIR,11.0,13.0,0.3855,0.384,0.0015
BrentaFLIR,12.0,14.0,0.384,0.384,0.0
BrentaFLIR,13.0,15.0,0.384,0.384,0.0
BrentaFLIR,14.0,16.0,0.3882,0.384,0.0042
