Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
RiverBradano_NonStabilised,0.0,2.0,0.817,0.817,0.0
RiverBradano_NonStabilised,1.0,3.0,0.8139,0.817,0.0031
RiverBradano_NonStabilised,2.0,4.0,0.817,0.817,0.0
RiverBradano_NonStabilised,3.0,5.0,0.817,0.817,0.0
RiverBradano_NonStabilised,4.0,6.0,0.817,0.817,0.0
RiverBradano_NonStabilised,5.0,7.0,0.817,0.817,0.0
RiverBradano_NonStabilised,6.0,8.0,0.817,0.817,0.0
RiverBradano_NonStabilised,7.0,9.0,0.817,0.817,0.0
RiverBradano_NonStabilised,8.0,10.0,0.817,0.817,0.0
RiverBradano_NonStabilised,9.0,11.0,0.817,0.817,0.0
RiverBradano_NonStabilised,10.0,12.0,0.817,0.817,0.0
RiverBradano_NonStabilised,11.0,13.0,0.817,0.817,0.0
RiverBradano_NonStabilised,12.0,14.0,0.8164,0.817,0.0006
RiverBradano_NonStabilised,13.0,15.0,0.8164,0.817,0.0006
RiverBradano_NonStabilised,14.0,16.0,0.817,0.817,0.0
RiverBradano_NonStabilised,15.0,17.0,0.817,0.817,0.0
RiverBradano_NonStabilised,16.0,18.0,0.817,0.817,0.0
RiverBradano_NonStabilised,17.0,19.0,0.817,0.817,0.0
RiverBradano_NonStabilised,18.0,20.0,0.817,0.817,0.0
RiverBradano_NonStabilised,19.0,21.0,0.817,0.817,0.0
RiverBradano_NonStabilised,20.0,22.0,0.817,0.817,0.0
RiverBradano_NonStabilised,21.0,23.0,0.8136,0.817,0.0034
RiverBradano_NonStabilised,22.0,24.0,0.817,0.817,0.0
RiverBradano_NonStabilised,23.0,25.0,0.817,0.817,0.0
