Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
RiverBradano_Stabilised,0.0,2.0,0.817,0.817,0.0
RiverBradano_Stabilised,1.0,3.0,0.8177,0.817,0.0007
RiverBradano_Stabilised,2.0,4.0,0.817,0.817,0.0
RiverBradano_Stabilised,3.0,5.0,0.817,0.817,0.0
RiverBradano_Stabilised,4.0,6.0,0.817,0.817,0.0
RiverBradano_Stabilised,5.0,7.0,0.817,0.817,0.0
RiverBradano_Stabilised,6.0,8.0,0.817,0.817,0.0
RiverBradano_Stabilised,7.0,9.0,0.817,0.817,0.0
RiverBradano_Stabilised,8.0,10.0,0.817,0.817,0.0
RiverBradano_Stabilised,9.0,11.0,0.8208,0.817,0.0038
RiverBradano_Stabilised,10.0,12.0,0.8189,0.817,0.0019
RiverBradano_Stabilised,11.0,13.0,0.8153,0.817,0.0017
RiverBradano_Stabilised,12.0,14.0,0.8164,0.817,0.0006
RiverBradano_Stabilised,13.0,15.0,0.8164,0.817,0.0006
RiverBradano_Stabilised,14.0,16.0,0.817,0.817,0.0
RiverBradano_Stabilised,15.0,17.0,0.817,0.817,0.0
RiverBradano_Stabilised,16.0,18.0,0.817,0.817,0.0
RiverBradano_Stabilised,17.0,19.0,0.9337,0.817,0.1167
RiverBradano_Stabilised,18.0,20.0,0.8414,0.817,0.0244
RiverBradano_Stabilised,19.0,21.0,0.8636,0.817,0.0466
RiverBradano_Stabilised,20.0,22.0,0.8149,0.817,0.0021
RiverBradano_Stabilised,21.0,23.0,0.817,0.817,0.0
RiverBradano_Stabilised,22.0,24.0,0.817,0.817,0.0
RiverBradano_Stabilised,23.0,25.0,0.817,0.817,0.0
