Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
SalmonRiver_notStabilised,0.0,2.0,0.6656,0.667,0.0014
SalmonRiver_notStabilised,1.0,3.0,0.6674,0.667,0.0004
SalmonRiver_notStabilised,2.0,4.0,0.6677,0.667,0.0007
SalmonRiver_notStabilised,3.0,5.0,0.667,0.667,0.0
SalmonRiver_notStabilised,4.0,6.0,0.6672,0.667,0.0002
SalmonRiver_notStabilised,5.0,7.0,0.6689,0.667,0.0019
SalmonRiver_notStabilised,6.0,8.0,0.6664,0.667,0.0006
SalmonRiver_notStabilised,7.0,9.0,0.6661,0.667,0.0009
SalmonRiver_notStabilised,8.0,10.0,0.6657,0.667,0.0013
SalmonRiver_notStabilised,9.0,11.0,0.6687,0.667,0.0017
SalmonRiver_notStabilised,10.0,12.0,0.6666,0.667,0.0004
SalmonRiver_notStabilised,11.0,13.0,0.667,0.667,0.0
SalmonRiver_notStabilised,12.0,14.0,0.6683,0.667,0.0013
SalmonRiver_notStabilised,13.0,15.0,0.667,0.667,0.0
SalmonRiver_notStabilised,14.0,16.0,0.6672,0.667,0.0002
SalmonRiver_notStabilised,15.0,17.0,0.667,0.667,0.0
SalmonRiver_notStabilised,16.0,18.0,0.667,0.667,0.0
SalmonRiver_notStabilised,17.0,19.0,0.6668,0.667,0.0002
SalmonRiver_notStabilised,18.0,20.0,0.6675,0.667,0.0005
SalmonRiver_notStabilised,19.0,21.0,0.669,0.667,0.002
SalmonRiver_notStabilised,20.0,22.0,0.667,0.667,0.0
SalmonRiver_notStabilised,21.0,23.0,0.6702,0.667,0.0032
SalmonRiver_notStabilised,22.0,24.0,0.6666,0.667,0.0004
SalmonRiver_notStabilised,23.0,25.0,0.6664,0.667,0.0006
SalmonRiver_notStabilised,24.0,26.0,0.6664,0.667,0.0006
SalmonRiver_notStabilised,25.0,27.0,0.6664,0.667,0.0006
SalmonRiver_notStabilised,26.0,28.0,0.667,0.667,0.0
SalmonRiver_notStabilised,27.0,29.0,0.667,0.667,0.0
SalmonRiver_notStabilised,28.0,30.0,0.667,0.667,0.0
SalmonRiver_notStabilised,29.0,31.0,0.667,0.667,0.0
SalmonRiver_notStabilised,30.0,32.0,0.667,0.667,0.0
SalmonRiver_notStabilised,31.0,33.0,0.667,0.667,0.0
SalmonRiver_notStabilised,32.0,34.0,0.6677,0.667,0.0007
SalmonRiver_notStabilised,33.0,35.0,0.6658,0.667,0.0012
SalmonRiver_notStabilised,34.0,36.0,0.6672,0.667,0.0002
SalmonRiver_notStabilised,35.0,37.0,0.6684,0.667,0.0014
SalmonRiver_notStabilised,36.0,38.0,0.6674,0.667,0.0004
SalmonRiver_notStabilised,37.0,39.0,0.6636,0.667,0.0034
SalmonRiver_notStabilised,38.0,40.0,0.6583,0.667,0.0087
SalmonRiver_notStabilised,39.0,41.0,0.664,0.667,0.003
SalmonRiver_notStabilised,40.0,42.0,0.6638,0.667,0.0032
SalmonRiver_notStabilised,41.0,43.0,0.6636,0.667,0.0034
SalmonRiver_notStabilised,42.0,44.0,0.6689,0.667,0.0019
SalmonRiver_notStabilised,43.0,45.0,0.6695,0.667,0.0025
SalmonRiver_notStabilised,44.0,46.0,0.6669,0.667,0.0001
SalmonRiver_notStabilised,45.0,47.0,0.6669,0.667,0.0001
SalmonRiver_notStabilised,46.0,48.0,0.6677,0.667,0.0007
SalmonRiver_notStabilised,47.0,49.0,0.666,0.667,0.001
SalmonRiver_notStabilised,48.0,50.0,0.6672,0.667,0.0002
SalmonRiver_notStabilised,49.0,51.0,0.6678,0.667,0.0008
SalmonRiver_notStabilised,50.0,52.0,0.6669,0.667,0.0001
SalmonRiver_notStabilised,51.0,53.0,0.667,0.667,0.0
SalmonRiver_notStabilised,52.0,54.0,0.667,0.667,0.0
SalmonRiver_notStabilised,53.0,55.0,0.6672,0.667,0.0002
SalmonRiver_notStabilised,54.0,56.0,0.667,0.667,0.0
SalmonRiver_notStabilised,55.0,57.0,0.667,0.667,0.0
SalmonRiver_notStabilised,56.0,58.0,0.669,0.667,0.002
SalmonRiver_notStabilised,57.0,59.0,0.6675,0.667,0.0005
SalmonRiver_notStabilised,58.0,60.0,0.667,0.667,0.0
SalmonRiver_notStabilised,58.81075,60.81075,0.665,0.667,0.002
