Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
Tiber,0.0,2.0,2.3682,2.331,0.0372
Tiber,1.0,3.0,2.3548,2.331,0.0238
Tiber,2.0,4.0,2.3543,2.331,0.0233
Tiber,3.0,5.0,2.3575,2.331,0.0265
Tiber,4.0,6.0,2.311,2.331,0.02
Tiber,5.0,7.0,2.3237,2.331,0.0073
Tiber,6.0,8.0,2.3553,2.331,0.0243
Tiber,7.0,9.0,2.3665,2.331,0.0355
Tiber,8.0,10.0,2.4676,2.331,0.1366
Tiber,9.0,11.0,2.3465,2.331,0.0155
Tiber,10.0,12.0,2.331,2.331,0.0
Tiber,11.0,13.0,2.3175,2.331,0.0135
Tiber,12.0,14.0,2.3165,2.331,0.0145
Tiber,13.0,15.0,2.315,2.331,0.016
Tiber,14.0,16.0,2.3442,2.331,0.0132
Tiber,15.0,17.0,2.7807,2.331,0.4497
Tiber,16.0,18.0,2.4742,2.331,0.1432
Tiber,17.0,19.0,2.331,2.331,0.0
Tiber,18.0,20.0,2.348,2.331,0.017
Tiber,19.0,21.0,2.3371,2.331,0.0061
Tiber,20.0,22.0,2.3266,2.331,0.0044
Tiber,21.0,23.0,2.3371,2.331,0.0061
Tiber,22.0,24.0,2.4366,2.331,0.1056
Tiber,23.0,25.0,2.3739,2.331,0.0429
Tiber,24.0,26.0,2.3677,2.331,0.0367
Tiber,25.0,27.0,2.3494,2.331,0.0184
Tiber,26.0,28.0,2.3494,2.331,0.0184
Tiber,27.0,29.0,2.331,2.331,0.0
Tiber,28.0,30.0,2.331,2.331,0.0
Tiber,29.0,31.0,2.486,2.331,0.155
Tiber,30.0,32.0,2.7212,2.331,0.3902
Tiber,31.0,33.0,2.3295,2.331,0.0015
Tiber,32.0,34.0,2.331,2.331,0.0
Tiber,33.0,35.0,2.3247,2.331,0.0063
Tiber,34.0,36.0,2.3226,2.331,0.0084
Tiber,35.0,37.0,2.331,2.331,0.0
Tiber,36.0,38.0,2.3371,2.331,0.0061
Tiber,37.0,39.0,2.331,2.331,0.0
Tiber,38.0,40.0,2.331,2.331,0.0
Tiber,39.0,41.0,2.3281,2.331,0.0029
Tiber,40.0,42.0,2.2999,2.331,0.0311
Tiber,41.0,43.0,2.3894,2.331,0.0584
Tiber,42.0,44.0,2.5191,2.331,0.1881
Tiber,43.0,45.0,2.7869,2.331,0.4559
Tiber,44.0,46.0,2.3555,2.331,0.0245
Tiber,45.0,47.0,2.3237,2.331,0.0073
Tiber,46.0,48.0,2.331,2.331,0.0
Tiber,47.0,49.0,2.315,2.331,0.016
Tiber,48.0,50.0,2.331,2.331,0.0
Tiber,49.0,51.0,2.331,2.331,0.0
Tiber,50.0,52.0,2.3432,2.331,0.0122
Tiber,51.0,53.0,2.3866,2.331,0.0556
Tiber,52.0,54.0,2.3493,2.331,0.0183
Tiber,53.0,55.0,2.3042,2.331,0.0268
Tiber,54.0,56.0,2.2696,2.331,0.0614
Tiber,55.0,57.0,2.2993,2.331,0.0317
Tiber,56.0,58.0,2.3388,2.331,0.0078
Tiber,56.99280575539568,58.99280575539568,2.5328,2.331,0.2018
